Time|User|Action|Id|Table|Fields
28/03/2017 10:04:49|admin|edit|3|vehicle|rregfg-fdfgfg-1

28/03/2017 10:11:20|admin|delete|3|vehicle|

28/03/2017 10:30:39|admin|add|4|vehicle|a-a-1

28/03/2017 10:34:20|admin|delete|4|vehicle|

28/03/2017 11:03:49|admin|add|3|place|12-sas

28/03/2017 11:04:15|admin|edit|3|place|12-aa

28/03/2017 11:04:30|admin|delete|3|place|

29/03/2017 09:03:59|admin|add|1|customer|A-11-a-------1

29/03/2017 09:04:38|admin|edit|1|customer|AA-111-a2----0---1,2

29/03/2017 09:48:35|admin|add|1|romooc|72A-323245

29/03/2017 09:48:51|admin|edit|1|romooc|72A-32324

29/03/2017 09:49:05|admin|add|2|romooc|sdsd

29/03/2017 09:49:08|admin|delete|2|romooc|

29/03/2017 14:52:17|admin|add|2|vehicleromooc|1-1-1490738400-1806271200

29/03/2017 15:02:20|admin|add|3|vehicleromooc|--1490738400-1806271200

29/03/2017 15:42:29|admin|add|2|romooc|72C-32300

29/03/2017 15:43:00|admin|add||vehicleromooc|1-2-

29/03/2017 15:43:30|admin|add||vehicleromooc|1-2-1490738400

29/03/2017 15:44:58|admin|add|4|vehicleromooc|1-2-1490738400

29/03/2017 15:46:47|admin|add|5|vehicleromooc|1-1-1488322800

29/03/2017 15:49:08|admin|add|6|vehicleromooc|1-1-1490738400

29/03/2017 15:59:36|admin|add|7|vehicleromooc|1-1-1488322800-1490652000

29/03/2017 16:01:38|admin|add|9|vehicleromooc|1-1-1493503200

29/03/2017 16:04:43|admin|add|10|vehicleromooc|1-2-1490738400

29/03/2017 16:05:02|admin|add|11|vehicleromooc|1-1-1488322800-1490652000

29/03/2017 16:06:39|admin|add|12|vehicleromooc|1-1-1490997600

29/03/2017 16:12:30|admin|add|13|vehicleromooc|1-2-1493503200

29/03/2017 16:14:39|admin|add|14|vehicleromooc|1-2-1490738400

29/03/2017 16:14:52|admin|add|15|vehicleromooc|1-1-1488322800-1490652000

29/03/2017 16:15:19|admin|add|16|vehicleromooc|1-1-1490997600

29/03/2017 16:16:03|admin|add|17|vehicleromooc|1-2-1490997600

30/03/2017 14:55:23|admin|add|1|import_stock|A33535-1490824800-41

30/03/2017 15:18:56|admin|edit|1|import_stock|A3353511-1490911200-41

30/03/2017 15:52:15|admin|add|1|export_stock|XK00001-1490911200-41

31/03/2017 08:09:09|admin|edit|1|spare_part|Bulong-BL01-2346466565-Honda-1488236400-1,2

31/03/2017 08:51:10|admin|add|1|place|Công ty CP Tân Cảng Miền Trung-132323454-asas-334 343 4344-dsd@dsd.dsd

31/03/2017 08:51:19|admin|edit|1|info|Công ty CP Tân Cảng Miền Trung-132323454-asas-334 343 4344-dsd@dsd.cc

31/03/2017 15:15:55|admin|add|3|spare_part|Cờ lê-C002----3

31/03/2017 15:16:21|admin|add|4|spare_part|Xả khói-O9992----4

01/04/2017 09:45:43|admin|add|15|marketing|1490997600-2-1-1-150-5000-20000-1-200000-1490997600-1493503200-Hạ cont-3-2-1-41

01/04/2017 10:09:20|admin|edit|1|customer|AA-111-a2-085 548 8899-092 454 5566--0---1,2

01/04/2017 10:33:40|admin|add|4|shipment_temp|15

01/04/2017 10:56:46|admin|edit|4|shipment_temp|1491256800-3-50

05/04/2017 09:39:24|admin|edit|16|vehicleromooc|1-1-1491084000-1493503200

05/04/2017 14:51:58|admin|edit|1|customer|KH-AA-AA-Công ty TNHH AA-111-a2-085 548 8899-092 454 5566--0---2-1,2,3

05/04/2017 15:17:55|admin|add|1|route|1-An Sương

07/04/2017 14:43:36|admin|lock|12179|shipment|0

08/04/2017 09:58:14|admin|edit|1|customer|KH-AA-AA-Công ty TNHH AA-111-a2-085 548 8899-092 454 5566--0---1-1,2,3

08/04/2017 09:58:28|admin|edit|1|customer|KH-AA-AA-Công ty TNHH AA-111-a2-085 548 8899-092 454 5566--0---3-1,2,3

08/04/2017 09:58:41|admin|edit|1|customer|KH-AA-AA-Công ty TNHH AA-111-a2-085 548 8899-092 454 5566--0---2-1,2,3

08/04/2017 10:00:25|admin|edit|1|customer|KH-AA-AA-Công ty TNHH AA-111-a2-085 548 8899-092 454 5566--0---3-1,2,3

08/04/2017 10:00:33|admin|edit|1|customer|KH-AA-AA-Công ty TNHH AA-111-a2-085 548 8899-092 454 5566--0---2-1,2,3

08/04/2017 10:52:02|admin|edit|4|salary_bonus|10000-20000-1491429600-1493416800

08/04/2017 10:59:11|admin|edit|12183|shipmet_oil|2-2-1

08/04/2017 10:59:23|admin|lock|12179|shipment|0

08/04/2017 10:59:39|admin|add|2414|excess|1-2-04-2017-0-0-0-12179

08/04/2017 10:59:39|admin|edit|12179|shipment|2-1-1-1-1-3-2-10000-10.5-20-6000-12573-1492639200-1-1-5-Phát sinh-30000-0--0--10-Phát sinh dầu-ĐN-20000-20000-TU-1-1-Dầu thừa-20000-Mua-20000-Thừa-2000-Cước phát sinh-10000-500000-1-2179-1-2-2-30000-432554--402554-0-676600

08/04/2017 11:00:43|admin|edit|12179|shipment|2-1-1-1-1-3-2-10000-10.5-20-6000-12573-1492639200-1-1-5-Phát sinh-30000-0--0--10-Phát sinh dầu-ĐN-20000-20000-TU-1-1-Dầu thừa-20000-Mua-20000-Thừa-2000-Cước phát sinh-10000-500000-1-2179-1-2-2-30000-432554--402554-0-676600

08/04/2017 11:04:01|admin|edit|12179|shipment|2-1-1-1-1-3-2-10000-10.5-20-6000-12573-1492639200-1-1-5-Phát sinh-30000-0--0--10-Phát sinh dầu-ĐN-20000-20000-TU-1-1-Dầu thừa-20000-Mua-20000-Thừa-2000-Cước phát sinh-10000-500000-1-2179-1-2-2-30000-432554--402554-0-676600

08/04/2017 11:07:06|admin|edit|12179|shipment|2-1-1-1-1-3-2-10000-10.5-20-6000-12573-1492639200-1-1-5-Phát sinh-30000-0--0--10-Phát sinh dầu-ĐN-20000-20000-TU-1-1-Dầu thừa-20000-Mua-20000-Thừa-2000-Cước phát sinh-10000-500000-1-2179-1-2-2-30000-432554--402554-0-676600

08/04/2017 11:07:22|admin|edit|12179|shipment|2-1-1-1-1-3-2-10000-10.5-20-6000-12573-1492639200-1-1-5-Phát sinh-30000-0--0--10-Phát sinh dầu-ĐN-20000-20000-TU-1-1-Dầu thừa-20000-Mua-20000-Thừa-2000-Cước phát sinh-10000-500000-1-2179-1-2-2-30000-432554--402554-0-676600

08/04/2017 11:08:16|admin|add|2414|excess|1-2-4-2017-0-0-0-12183

08/04/2017 11:08:16|admin|edit|12183|shipment|2-1-1-2-1-1-1-500000-2-0-0-12236-1490824800-1-1-1--0-0--0--0---0-0--1-0--0--0--0--0-200000-3-2178-1-1-1-500000-790216--240216-0-611000

08/04/2017 11:11:02|admin|edit|12179|shipment|2-1-1-1-1-3-2-10000-10.5-20-6000-12573-1492639200-1-1-5-Phát sinh-30000-0--0--10-Phát sinh dầu-ĐN-20000-20000-TU-1-1-Dầu thừa-20000-Mua-20000-Thừa-2000-Cước phát sinh-10000-500000-1-2179-1-2-2-30000-432554--402554-0-676600

08/04/2017 11:21:22|admin|edit|12179|shipment|2-1-1-1-1-3-2-10000-10.5-20-6000-12573-1492639200-1-1-5-Phát sinh-30000-0--0--10-Phát sinh dầu-ĐN-20000-20000-TU-1-1-Dầu thừa-20000-Mua-20000-Thừa-2000-Cước phát sinh-10000-500000-1-2179-1-2-2-30000-432554--402554-0-676600

08/04/2017 11:21:55|admin|edit|12183|shipment|2-1-1-2-1-1-1-500000-2-0-0-12236-1490824800-1-1-1--0-0--0--0---0-0--1-0--0--0--0--0-200000-3-2178-1-1-1-500000-790216--240216-0-611000

10/04/2017 14:55:24|admin|edit|1|import_stock|A3353511-1490911200-41-000032424-1488322800-1-Nhập kho-Hoàng Nam-TP Hồ Chí Minh-1

10/04/2017 14:55:58|admin|edit|1|import_stock|A3353511-1490911200-41-000032424-1488322800-1-Nhập kho-Hoàng Nam-TP Hồ Chí Minh-1

10/04/2017 14:56:23|admin|edit|1|import_stock|A3353511-1490911200-41-000032424-1488322800-1-Nhập kho-Hoàng Nam-TP Hồ Chí Minh-1

10/04/2017 16:36:00|admin|edit|1|import_stock|A3353511-1490911200-41-000032424-1488322800-1-Nhập kho-Hoàng Nam-TP Hồ Chí Minh-1

10/04/2017 16:48:49|admin|edit|2|export_stock|XK000002-1490911200-41-Xuất kho-1-1

10/04/2017 16:49:28|admin|edit|1|import_stock|A3353511-1490911200-41-000032424-1488322800-1-Nhập kho-Hoàng Nam-TP Hồ Chí Minh-1

12/04/2017 16:50:54|admin|add|2|import_stock|NK0009-1490997600-41-000552-1492639200-1-Lốp-Hoàng-ĐN-1

13/04/2017 08:32:09|admin|add|3|import_stock|NK000232-1492120800-41----Lốp---1

13/04/2017 08:51:22|admin|delete|3|import_stock|

13/04/2017 08:51:22|admin|delete|2|import_stock|

13/04/2017 08:52:24|admin|add|4|import_stock|NK909999-1492120800-41----Lốp---1

13/04/2017 11:22:37|admin|add|5|import_stock|as-1491516000-41----as---1

13/04/2017 11:37:40|admin|edit|6|spare_part|Double Road-DR801-5111144565-Double Road-1491948000-

13/04/2017 15:11:48|admin|add|6|import_stock|dasds-1491429600-41----sds---1

13/04/2017 15:12:02|admin|delete|6|import_stock|

13/04/2017 15:15:36|admin|add|7|import_stock|fdd-1492120800-41----ddd---1

13/04/2017 15:15:54|admin|delete|7|import_stock|

13/04/2017 15:19:24|admin|add|8|import_stock|ddd-1491516000-41----dd---1

13/04/2017 15:51:10|admin|delete|5|import_stock|

13/04/2017 15:51:13|admin|delete|8|import_stock|

13/04/2017 15:51:51|admin|add|9|import_stock|aaaa-1492034400-41----a---1

13/04/2017 16:35:27|admin|edit|9|import_stock|aaaa-1492034400-41---0-a---1

13/04/2017 16:45:38|admin|edit|9|import_stock|aaaa-1492034400-41---0-a---1

13/04/2017 16:48:02|admin|edit|9|import_stock|aaaa-1492034400-41---0-a---1

14/04/2017 10:15:12|admin|delete|2|export_stock|

14/04/2017 10:15:12|admin|delete|1|export_stock|

14/04/2017 10:15:25|admin|delete|10|sparevehicle|

14/04/2017 10:15:25|admin|delete|11|sparevehicle|

14/04/2017 10:15:25|admin|delete|9|sparevehicle|

14/04/2017 10:15:25|admin|delete|18|sparevehicle|

14/04/2017 10:15:25|admin|delete|19|sparevehicle|

17/04/2017 11:49:04|admin|lock|12184|shipment|0

17/04/2017 11:49:22|admin|edit|12184|bill|20000-3-20000-3-70143659-1491084000-1491170400-20000-3-20000-3-1491217200-1491220800

17/04/2017 14:27:46|admin|edit|1|import_stock|A3353511-1490911200-41-000032424-1488322800-1-Nhập kho-Hoàng Nam-TP Hồ Chí Minh-1

17/04/2017 14:28:08|admin|edit|1|import_stock|A3353511-1490911200-41-000032424-1488322800--Nhập kho-Hoàng Nam-TP Hồ Chí Minh-1

17/04/2017 14:28:18|admin|edit|1|import_stock|A3353511-1490911200-41-000032424-1488322800-1-Nhập kho-Hoàng Nam-TP Hồ Chí Minh-1

17/04/2017 14:28:58|admin|edit|1|import_stock|A3353511-1490911200-41-000032424-1488322800-1-Nhập kho-Hoàng Nam-TP Hồ Chí Minh-1

17/04/2017 14:28:58|admin|edit|1|import_stock|A3353511-1490911200-41-000032424-1488322800-1-Nhập kho-Hoàng Nam-TP Hồ Chí Minh-1

17/04/2017 14:31:59|admin|edit|1|import_stock|A3353511-1490911200-41-000032424-1488322800--Nhập kho-Hoàng Nam-TP Hồ Chí Minh-1

17/04/2017 14:32:00|admin|edit|1|import_stock|A3353511-1490911200-41-000032424-1488322800--Nhập kho-Hoàng Nam-TP Hồ Chí Minh-1

17/04/2017 14:33:26|admin|edit|1|import_stock|A3353511-1490911200-41-000032424-1488322800-1-Nhập kho-Hoàng Nam-TP Hồ Chí Minh-1

17/04/2017 14:34:45|admin|edit|1|import_stock|A3353511-1490911200-41-000032424-1488322800-1-Nhập kho-Hoàng Nam-TP Hồ Chí Minh-1

17/04/2017 14:35:25|admin|edit|1|import_stock|A3353511-1490911200-41-000032424-1488322800-1-Nhập kho-Hoàng Nam-TP Hồ Chí Minh-1

17/04/2017 14:38:17|admin|edit|1|import_stock|A3353511-1490911200-41-000032424-1488322800-1-Nhập kho-Hoàng Nam-TP Hồ Chí Minh-1

17/04/2017 14:38:36|admin|edit|1|import_stock|A3353511-1490911200-41-000032424-1488322800-1-Nhập kho-Hoàng Nam-TP Hồ Chí Minh-1

17/04/2017 14:38:51|admin|edit|1|import_stock|A3353511-1490911200-41-000032424-1488322800-1-Nhập kho-Hoàng Nam-TP Hồ Chí Minh-1

17/04/2017 14:40:50|admin|edit|1|import_stock|A3353511-1490911200-41-000032424-1488322800-1-Nhập kho-Hoàng Nam-TP Hồ Chí Minh-1

17/04/2017 14:51:00|admin|edit|1|import_stock|A3353511-1490911200-41-000032424-1488322800-1-Nhập kho-Hoàng Nam-TP Hồ Chí Minh-1

18/04/2017 09:22:55|admin|edit|1|import_stock|A3353511-1490911200-41-000032424-1488322800--Nhập kho-Hoàng Nam-TP Hồ Chí Minh-1

18/04/2017 09:23:04|admin|edit|1|import_stock|A3353511-1490911200-41-000032424-1488322800-4-Nhập kho-Hoàng Nam-TP Hồ Chí Minh-1

18/04/2017 10:12:39|admin|complete|12185|shipment|

18/04/2017 10:13:16|admin|edit|12184|shipment|5-6-3-3-2-20000-3-250-60-0-0-12236-1491084000-0-1-1--0-0--0--0---0-0--1-0--0--0--0--0-200000-4-2181,2182,2183-1-20000-3-5000000-1800196-3349804-0-0

18/04/2017 10:23:58|admin|edit|12184|shipment|5-6-3-3-2-20000-3-250-60-0-0-12236-1491084000-0-1-1--0-0--0--0---0-0--1-0--0--0--0--0-200000-4-2181,2182,2183-1-20000-3-5000000-1800196-3349804-0-0

18/04/2017 10:24:57|admin|add|4|cost_list|CA-Công an-10

18/04/2017 10:25:32|admin|edit|12184|shipment|5-6-3-3-2-20000-3-250-60-0-0-12236-1491084000-0-1-1--0-0--0--0---0-0--1-0--0--0--0--0-200000-4-2181,2182,2183-1-20000-3-5000000-2300196-3349804-0-0

18/04/2017 14:27:26|admin|edit|12184|shipment|5-6-3-3-2-20000-3-250-60-0-0-12236-1491084000-0-1-1--0-0--0--0---0-0--1-0--0--0--0--0-200000-4-2181,2182,2183-1-20000-3-5000000-2300196-3349804-0-0

18/04/2017 14:28:00|admin|edit|12184|shipment|5-6-3-3-2-20000-3-250-60-0-0-12236-1491084000-0-1-1--0-0--0--0---0-0--1-0--0--0--0--0-200000-4-2181,2182,2183-1-20000-3-5000000-2300196-3349804-0-0

18/04/2017 14:42:41|admin|edit|12184|shipment|5-6-3-3-2-20000-3-250-60-0-0-12236-1491084000-0-1-1--0-0--0--0---0-0--1-0--0--0--0--0-200000-4-2181,2182,2183-1-20000-3-5000000-2300196-3349804-0-0

18/04/2017 14:42:54|admin|edit|12184|shipment|5-6-3-3-2-20000-3-250-60-0-0-12236-1491084000-0-1-1--0-0--0--0---0-0--1-0--0--0--0--0-200000-4-2181,2182,2183-1-20000-3-5000000-2300196-3349804-0-0

18/04/2017 14:43:14|admin|edit|12184|shipment|5-6-3-3-2-20000-3-250-60-0-0-12236-1491084000-0-1-1--0-0--0--0---0-0--1-0--0--0--0--0-200000-4-2181,2182,2183-1-20000-3-5000000-2300196-3349804-0-0

18/04/2017 14:43:34|admin|edit|12184|shipment|5-6-3-3-2-20000-3-250-60-0-0-12236-1491084000-0-1-1--0-0--0--0---0-0--1-0--0--0--0--0-200000-4-2181,2182,2183-1-20000-3-5000000-2300196-3349804-0-0

19/04/2017 16:25:10|admin|add|1|road_cost|1492034400-00555-500000-5000000-8-Phí đường bộ-1492639200-1524175200-2,3-1,2

19/04/2017 16:26:46|admin|edit|1|road_cost|1492034400-00555-600000-6000000-8-Phí đường bộ-1492639200-1524175200-2,3-1

19/04/2017 16:27:57|admin|edit|1|road_cost|1492034400-00555--6000000-8-Phí đường bộ-1492639200-1524175200-2,3-1

19/04/2017 16:28:22|admin|edit|1|road_cost|1492034400-00555-600000-6000000-8-Phí đường bộ-1492639200-1524175200-2,3-1

19/04/2017 16:42:38|admin|add|1|checking_cost|1492639200-006666-800000-8000000-8-Kiểm định-1492725600-1524261600-4,5-2,3

20/04/2017 11:28:19|admin|approve_oil|3|shipment|

20/04/2017 11:28:31|admin|approve_oil|3|shipment|

20/04/2017 11:35:36|admin|add|1|insurance_cost|1492639200-009999-100000-1000000-8-bh-1492639200-1524175200-2,4-2,3

20/04/2017 16:40:42|admin|add|2|checking_cost|1492725600-000345--500000-8-fsd-1492034400-1523570400-2,3-4,5

21/04/2017 08:46:42|admin|add|1|road_cost|1492639200-00563-100000-1000000-8-Phí đường bộ-1492725600-1524261600-3,5-1,2-4

21/04/2017 08:47:12|admin|add|1|checking_cost|1492725600-003423-50000-500000-9-Kiểm định-1492725600-1524261600-2,3-3-3

21/04/2017 08:47:46|admin|add|1|insurance_cost|1492812000-002324-200000-2000000-4-Bảo hiểm-1492725600-1524261600-3,5--2

21/04/2017 08:57:04|admin|add|10|vat|2-005-1492207200-4--

21/04/2017 09:06:05|admin|edit|1|checking_cost|1492725600-003423-50000-500000-9-Kiểm định-1492725600-1524261600-2,3--2

21/04/2017 09:06:14|admin|edit|1|checking_cost|1492725600-003423-50000-500000-9-Kiểm định-1492725600-1524261600-2,3-1-3

21/04/2017 09:07:42|admin|edit|1|insurance_cost|1492812000-002324-200000-2000000-4-Bảo hiểm-1492725600-1524261600-3,5--2

25/04/2017 15:57:46|admin|edit|13|export_stock|12 ( 1208)-1492898400-41-THAN, CLINKER-65-1-20

25/04/2017 15:58:21|admin|edit|12|export_stock|13( 1236)-1492898400-41-XI MĂNG-67-1-21

28/04/2017 15:54:59|admin|edit|12199|shipment|18-19-9-0-13-1-1-4500000-300-0-0-12555-1491343200-0-1-1--0-0--0--0---0-0--1-0--0--0--0--0-0-100000-03/04-TRẦN QUỐC-1491343200-1491429600-1-1-1-1-1491436800-1491436800-300-1-1-11-19--4500000-0-4500000-0-0

29/04/2017 10:20:33|admin|edit|12197|shipment|5-1-21-61-54-13-1-1-4000000-215-0-0-12555-1491170400-0-1-1--0-0--0--0---0-0--1-0--0--0--0--0-500000--01/04-TRẦN QUỐC-1491256800-1491343200-1-1-1-1-1491350400-1491350400-215-1-1-12-19--4000000-0-4000000-0-0

29/04/2017 10:56:45|admin|edit|12197|shipment|5-1-21-61-54-13-1-1-4000000-215-0-0-12555-1491170400-0-1-1--0-0--0--0---0-0--1-0--0--0--0--0-500000-500000-01/04-TRẦN QUỐC-1491256800-1491343200-1-1-1-1-1491350400-1491350400-215-1-1-12-19--4000000-0-4000000-0-0

29/04/2017 11:03:18|admin|edit|12197|shipment|5-1-21-61-54-13-1-1-4000000-215-0-0-12555-1491170400-0-1-1--0-0--0--0---0-0--1-0--0--0--0--0-500000-600000-01/04-TRẦN QUỐC-1491256800-1491343200-1-1-1-1-1491350400-1491350400-215-1-1-12-19--4000000-0-4000000-0-0

04/05/2017 11:45:02|admin|edit|2198|road|11-17-5-19-48.96-0-153-18-0-0-0-0-0-2.5-1490997600-1585692000-1

04/05/2017 13:46:46|admin|edit|14|export_stock|11 ( 1592)-1492898400-41-XI MĂNG-54-1--3

04/05/2017 13:46:52|admin|edit|14|export_stock|11 ( 1592)-1492898400-41-XI MĂNG-54-1--

04/05/2017 15:08:13|admin|add|1|shipment_list|556-1493848800-2-7977821-12185,12186,12188,12189

04/05/2017 15:14:12|admin|edit|1|shipment_list|556-1493848800-2-9960000-12184,12186,12188,12189

04/05/2017 15:56:09|admin|add|12|vat|2-00999-1493589600-2-ck-1

04/05/2017 15:57:02|admin|edit|12|vat|2-00999-1493589600-2-ck-1

06/05/2017 10:56:32|admin|add|1|shipment_list|00555-1493589600-2-9717800-12184,12185,12209-1490997600-1493503200-4

06/05/2017 10:57:26|admin|add|13|vat|2-000855-1493589600-2-ck-1

06/05/2017 10:58:50|admin|add|2|receipt_voucher|0024-1494021600-Thu-5000000--1-2

08/05/2017 09:51:54|admin|add|1|sell|1493589600-Mua 30 lốp cũ-10000000-8

10/05/2017 09:01:26|admin|edit|36|import_stock|2-1493589600-41---4-TỒN CUỐI T04---1

13/05/2017 08:38:28|admin|lock|12217|shipment|0

13/05/2017 09:01:05|admin|add|32|export_stock|2-1493589600-41-dau-65-1-20-

13/05/2017 09:08:32|admin|edit|32|export_stock|70K 1208-1493589600-41-dau-65-1-20-

13/05/2017 09:11:21|admin|lock|12210|shipment|0

13/05/2017 09:11:35|admin|edit|12210|shipment|4-3-20-56-65-2-59640-3-78-50-0-0-12555-1493676000-0-1-1--0-0--0--0---0-0--1-0--0--0--0--0-0-150000-70149413-1493676000-1493676000-59860-3-59640-3-1493687220-1493689260-50-0--59860-3-32-11-2196-4651920-495275-4156645-0-150000

17/05/2017 16:35:51|admin|add|37|import_stock|454-1494453600-41----fdfd---1

17/05/2017 16:37:18|admin|add|38|import_stock|23-1494453600-41----fdsd---1

19/05/2017 13:37:04|admin|edit|13|vat|2-000855-1493589600-2-ck-5-1

19/05/2017 13:37:19|admin|edit|13|vat|2-000855-1493589600-2-ck-10-1

19/05/2017 13:37:57|admin|edit|13|vat|2-000855-1493589600-2-ck-10-1

23/05/2017 10:00:15|admin|lock|12211|shipment|0

23/05/2017 10:00:22|admin|edit|12211|shipment|4-3-51-0-79-2-60040-3-78-0-0-0-12555-1493676000-0-1-1--0-0--0--0---0-0--1-0--0--0--0--0-0-150000-70149395-1493676000-1493676000-60140-3-60040-3-1493683200-1493683200-0-0-0-60140-3--11-2196-4683120-495275-4187845-0-150000

23/05/2017 11:22:45|admin|add|12221|shipment|4-3-3-3-58-2-0-1-0-0-0-0-12055-1495490400-0-1-1--0-0--0--0---0-0--1-0--0--0--0--0-0-300000-sd-1495490400-1495490400-0-1-0-1-1495490400-1495490400-0-0--0-1--3-2196,2197-0-963050--963050-0-300000-41--0-0-0-0-1

24/05/2017 09:12:06|admin|add|11|cost_list|DT-Điện thoại-1

24/05/2017 09:13:55|admin|add|4|payment_voucher|0054-1494453600-Dt-50000-5-1-11-2

24/05/2017 09:14:41|admin|add|12|cost_list|NUOC-Nước-1

24/05/2017 09:14:51|admin|edit|4|payment_voucher|0054-1494453600-Dt-50000-5-1-12-2

24/05/2017 16:37:41|admin|add|12222|shipment|3-4-3-3-58-2-200000-3-6-0-0-0-12055-1495576800-0-1-1--0-0--0--0---0-0--1-0--0--0--0--0-500000-500000-1-1495576800-1495576800-200000-3-200000-3-1495645500-1495649750-0-0--200000-3--4-2214,2213,2192,2194,2195-1200000-5072875--3872875-0-0-41-6-0-0-0-0-1

24/05/2017 16:37:41|admin|add|12223|shipment|3-4-3-3-58-2-430000-3-80-0-0-0-12055-1495576800-0-41-1-1--0-0--0--1-0-0-2-1495576800-1495576800-438000-3-430000-3-1495648800-1495661003-0-0--438000-3--4-2214,2213,2192,2194,2195-34400000-200000-34200000-0-0-0-0-1

